Champion,Advantage|% Advantage,Percentile,Count|Number of Players,Smoothed Count|Number of Players,Normalized Count|Normalized Number of Players,Smoothed Normalized Count|Normalized Number of Players,countatadvantage
Torvald,-0.475,0.00020,3,4.658, 4.2857e-05, 6.6545e-05,271
Torvald,-0.450,0.00036,7,7.506, 9.9999e-05, 1.0723e-04,580
Torvald,-0.425,0.00070,11,14.228, 1.5714e-04, 2.0325e-04,1141
Torvald,-0.400,0.00137,20,27.278, 2.8571e-04, 3.8969e-04,2264
Torvald,-0.375,0.00271,65,62.880, 9.2856e-04, 8.9827e-04,4127
Torvald,-0.350,0.00516,72,90.063, 1.0286e-03, 1.2866e-03,7011
Torvald,-0.325,0.00931,156,168.551, 2.2285e-03, 2.4078e-03,11155
Torvald,-0.300,0.01591,252,274.342, 3.5999e-03, 3.9191e-03,16516
Torvald,-0.275,0.02568,423,440.785, 6.0428e-03, 6.2968e-03,23856
Torvald,-0.250,0.03980,627,648.968, 8.9570e-03, 9.2708e-03,32221
Torvald,-0.225,0.05887,909,922.551, 1.2986e-02, 1.3179e-02,41799
Torvald,-0.200,0.08361,1172,1220.494, 1.6743e-02, 1.7435e-02,52324
Torvald,-0.175,0.11457,1649,1652.120, 2.3557e-02, 2.3601e-02,62664
Torvald,-0.150,0.15166,2055,2071.759, 2.9357e-02, 2.9596e-02,73334
Torvald,-0.125,0.19506,2599,2557.082, 3.7128e-02, 3.6529e-02,82203
Torvald,-0.100,0.24371,2904,2918.519, 4.1485e-02, 4.1693e-02,88659
Torvald,-0.075,0.29618,3361,3331.222, 4.8014e-02, 4.7588e-02,94456
Torvald,-0.050,0.35208,3687,3651.791, 5.2671e-02, 5.2168e-02,97945
Torvald,-0.025,0.41004,3941,3894.424, 5.6299e-02, 5.5634e-02,98864
Torvald,0.000,0.46855,4038,4013.994, 5.7685e-02, 5.7342e-02,97205
Torvald,0.025,0.52608,4108,4079.044, 5.8685e-02, 5.8271e-02,94342
Torvald,0.050,0.58191,4063,4056.158, 5.8042e-02, 5.7944e-02,89831
Torvald,0.075,0.63508,4070,4022.316, 5.8142e-02, 5.7461e-02,84775
Torvald,0.100,0.68525,3894,3869.127, 5.5628e-02, 5.5272e-02,78203
Torvald,0.125,0.73153,3616,3641.139, 5.1656e-02, 5.2016e-02,71645
Torvald,0.150,0.77393,3556,3494.348, 5.0799e-02, 4.9919e-02,64521
Torvald,0.175,0.81212,3142,3165.278, 4.4885e-02, 4.5218e-02,57137
Torvald,0.200,0.84593,2941,2923.987, 4.2014e-02, 4.1771e-02,50898
Torvald,0.225,0.87605,2597,2612.513, 3.7099e-02, 3.7321e-02,43913
Torvald,0.250,0.90204,2376,2356.152, 3.3942e-02, 3.3659e-02,37846
Torvald,0.275,0.92444,2038,2037.006, 2.9114e-02, 2.9100e-02,32110
Torvald,0.300,0.94344,1741,1725.234, 2.4871e-02, 2.4646e-02,26446
Torvald,0.325,0.95909,1374,1370.620, 1.9628e-02, 1.9580e-02,20875
Torvald,0.350,0.97145,998,1013.411, 1.4257e-02, 1.4477e-02,15903
Torvald,0.375,0.98086,658,691.139, 9.3999e-03, 9.8733e-03,11884
Torvald,0.400,0.98789,434,453.146, 6.1999e-03, 6.4734e-03,8085
Torvald,0.425,0.99268,241,263.184, 3.4428e-03, 3.7597e-03,5329
Torvald,0.450,0.99583,99,129.076, 1.4143e-03, 1.8439e-03,3259
Torvald,0.475,0.99776,67,73.278, 9.5713e-04, 1.0468e-03,1891
Torvald,0.500,0.99888,25,31.570, 3.5714e-04, 4.5099e-04,938
Torvald,0.525,0.99943,4,10.380, 5.7142e-05, 1.4828e-04,528
Torvald,0.550,0.99975,8,9.671, 1.1428e-04, 1.3815e-04,243
Terminus,-0.475,0.00020,3,3.127, 8.3968e-05, 8.7511e-05,271
Terminus,-0.450,0.00036,1,0.968, 2.7989e-05, 2.7104e-05,580
Terminus,-0.425,0.00070,1,1.544, 2.7989e-05, 4.3224e-05,1141
Terminus,-0.400,0.00137,2,3.570, 5.5979e-05, 9.9911e-05,2264
Terminus,-0.375,0.00271,8,9.430, 2.2391e-04, 2.6395e-04,4127
Terminus,-0.350,0.00516,19,20.367, 5.3180e-04, 5.7006e-04,7011
Terminus,-0.325,0.00931,24,33.367, 6.7174e-04, 9.3392e-04,11155
Terminus,-0.300,0.01591,69,71.987, 1.9313e-03, 2.0149e-03,16516
Terminus,-0.275,0.02568,109,116.937, 3.0508e-03, 3.2730e-03,23856
Terminus,-0.250,0.03980,174,185.152, 4.8701e-03, 5.1823e-03,32221
Terminus,-0.225,0.05887,262,279.943, 7.3332e-03, 7.8354e-03,41799
Terminus,-0.200,0.08361,409,419.266, 1.1448e-02, 1.1735e-02,52324
Terminus,-0.175,0.11457,586,585.968, 1.6402e-02, 1.6401e-02,62664
Terminus,-0.150,0.15166,742,751.190, 2.0768e-02, 2.1025e-02,73334
Terminus,-0.125,0.19506,947,945.443, 2.6506e-02, 2.6462e-02,82203
Terminus,-0.100,0.24371,1117,1129.127, 3.1264e-02, 3.1603e-02,88659
Terminus,-0.075,0.29618,1358,1350.146, 3.8009e-02, 3.7790e-02,94456
Terminus,-0.050,0.35208,1539,1543.570, 4.3075e-02, 4.3203e-02,97945
Terminus,-0.025,0.41004,1768,1752.399, 4.9485e-02, 4.9048e-02,98864
Terminus,0.000,0.46855,1941,1917.304, 5.4327e-02, 5.3664e-02,97205
Terminus,0.025,0.52608,2053,2029.690, 5.7462e-02, 5.6810e-02,94342
Terminus,0.050,0.58191,2074,2078.494, 5.8050e-02, 5.8176e-02,89831
Terminus,0.075,0.63508,2152,2135.956, 6.0233e-02, 5.9784e-02,84775
Terminus,0.100,0.68525,2192,2154.525, 6.1352e-02, 6.0304e-02,78203
Terminus,0.125,0.73153,2070,2072.392, 5.7938e-02, 5.8005e-02,71645
Terminus,0.150,0.77393,2036,2012.614, 5.6986e-02, 5.6332e-02,64521
Terminus,0.175,0.81212,1842,1869.722, 5.1556e-02, 5.2332e-02,57137
Terminus,0.200,0.84593,1852,1815.114, 5.1836e-02, 5.0804e-02,50898
Terminus,0.225,0.87605,1649,1649.234, 4.6154e-02, 4.6161e-02,43913
Terminus,0.250,0.90204,1512,1499.728, 4.2320e-02, 4.1976e-02,37846
Terminus,0.275,0.92444,1314,1310.127, 3.6778e-02, 3.6670e-02,32110
Terminus,0.300,0.94344,1115,1112.063, 3.1208e-02, 3.1126e-02,26446
Terminus,0.325,0.95909,919,909.899, 2.5722e-02, 2.5467e-02,20875
Terminus,0.350,0.97145,664,682.209, 1.8585e-02, 1.9095e-02,15903
Terminus,0.375,0.98086,489,502.399, 1.3687e-02, 1.4062e-02,11884
Terminus,0.400,0.98789,348,352.873, 9.7403e-03, 9.8767e-03,8085
Terminus,0.425,0.99268,211,219.873, 5.9057e-03, 6.1541e-03,5329
Terminus,0.450,0.99583,84,107.892, 2.3511e-03, 3.0198e-03,3259
Terminus,0.475,0.99776,51,58.127, 1.4275e-03, 1.6269e-03,1891
Terminus,0.500,0.99888,16,22.930, 4.4783e-04, 6.4181e-04,938
Terminus,0.525,0.99943,6,8.937, 1.6794e-04, 2.5013e-04,528
Terminus,0.550,0.99975,0,2.335, 0.0000e+00, 6.5367e-05,243
Ruckus,-0.475,0.00020,28,34.557, 4.5740e-04, 5.6451e-04,271
Ruckus,-0.450,0.00036,33,35.791, 5.3907e-04, 5.8467e-04,580
Ruckus,-0.425,0.00070,51,63.070, 8.3312e-04, 1.0303e-03,1141
Ruckus,-0.400,0.00137,104,122.690, 1.6989e-03, 2.0042e-03,2264
Ruckus,-0.375,0.00271,207,228.823, 3.3815e-03, 3.7380e-03,4127
Ruckus,-0.350,0.00516,372,393.354, 6.0768e-03, 6.4257e-03,7011
Ruckus,-0.325,0.00931,574,608.766, 9.3766e-03, 9.9446e-03,11155
Ruckus,-0.300,0.01591,901,916.146, 1.4718e-02, 1.4966e-02,16516
Ruckus,-0.275,0.02568,1239,1255.728, 2.0240e-02, 2.0513e-02,23856
Ruckus,-0.250,0.03980,1653,1653.380, 2.7003e-02, 2.7009e-02,32221
Ruckus,-0.225,0.05887,1984,2033.867, 3.2410e-02, 3.3225e-02,41799
Ruckus,-0.200,0.08361,2589,2557.285, 4.2293e-02, 4.1775e-02,52324
Ruckus,-0.175,0.11457,2980,2976.405, 4.8680e-02, 4.8622e-02,62664
Ruckus,-0.150,0.15166,3458,3403.867, 5.6488e-02, 5.5605e-02,73334
Ruckus,-0.125,0.19506,3744,3689.753, 6.1160e-02, 6.0275e-02,82203
Ruckus,-0.100,0.24371,3855,3836.791, 6.2974e-02, 6.2677e-02,88659
Ruckus,-0.075,0.29618,3995,3942.316, 6.5261e-02, 6.4401e-02,94456
Ruckus,-0.050,0.35208,3932,3899.627, 6.4232e-02, 6.3703e-02,97945
Ruckus,-0.025,0.41004,3833,3784.696, 6.2614e-02, 6.1826e-02,98864
Ruckus,0.000,0.46855,3572,3548.608, 5.8351e-02, 5.7969e-02,97205
Ruckus,0.025,0.52608,3221,3248.462, 5.2617e-02, 5.3066e-02,94342
Ruckus,0.050,0.58191,3019,3010.570, 4.9317e-02, 4.9180e-02,89831
Ruckus,0.075,0.63508,2797,2754.709, 4.5691e-02, 4.5000e-02,84775
Ruckus,0.100,0.68525,2365,2391.709, 3.8634e-02, 3.9070e-02,78203
Ruckus,0.125,0.73153,2081,2096.032, 3.3994e-02, 3.4240e-02,71645
Ruckus,0.150,0.77393,1876,1842.297, 3.0646e-02, 3.0095e-02,64521
