Patch,Champion,Percentile,Effective Winrate
OB41,Pip,0.0,0.4198
OB41,Pip,0.05,0.4433
OB41,Pip,0.1,0.4596
OB41,Pip,0.2,0.4752
OB41,Pip,0.3,0.4864
OB41,Pip,0.4,0.4968
OB41,Pip,0.5,0.5073
OB41,Pip,0.6,0.5178
OB41,Pip,0.7,0.5302
OB41,Pip,0.8,0.5479
OB41,Pip,0.9,0.5667
OB41,Pip,0.95,0.5854
OB41,Skye,0.0,0.4201
OB41,Skye,0.05,0.4399
OB41,Skye,0.1,0.4556
OB41,Skye,0.2,0.4706
OB41,Skye,0.3,0.4813
OB41,Skye,0.4,0.4913
OB41,Skye,0.5,0.5008
OB41,Skye,0.6,0.5110
OB41,Skye,0.7,0.5226
OB41,Skye,0.8,0.5362
OB41,Skye,0.9,0.5522
OB41,Skye,0.95,0.5744
OB41,Fernando,0.0,0.4341
OB41,Fernando,0.05,0.4531
OB41,Fernando,0.1,0.4686
OB41,Fernando,0.2,0.4822
OB41,Fernando,0.3,0.4937
OB41,Fernando,0.4,0.5043
OB41,Fernando,0.5,0.5146
OB41,Fernando,0.6,0.5254
OB41,Fernando,0.7,0.5375
OB41,Fernando,0.8,0.5531
OB41,Fernando,0.9,0.5695
OB41,Fernando,0.95,0.5874
OB41,Barik,0.0,0.4310
OB41,Barik,0.05,0.4523
OB41,Barik,0.1,0.4679
OB41,Barik,0.2,0.4814
OB41,Barik,0.3,0.4925
OB41,Barik,0.4,0.5027
OB41,Barik,0.5,0.5129
OB41,Barik,0.6,0.5235
OB41,Barik,0.7,0.5359
OB41,Barik,0.8,0.5511
OB41,Barik,0.9,0.5680
OB41,Barik,0.95,0.5872
OB41,Cassie,0.0,0.4051
OB41,Cassie,0.05,0.4285
OB41,Cassie,0.1,0.4435
OB41,Cassie,0.2,0.4567
OB41,Cassie,0.3,0.4683
OB41,Cassie,0.4,0.4798
OB41,Cassie,0.5,0.4911
OB41,Cassie,0.6,0.5024
OB41,Cassie,0.7,0.5146
OB41,Cassie,0.8,0.5289
OB41,Cassie,0.9,0.5440
OB41,Cassie,0.95,0.5620
OB41,Grohk,0.0,0.4328
OB41,Grohk,0.05,0.4517
OB41,Grohk,0.1,0.4667
OB41,Grohk,0.2,0.4794
OB41,Grohk,0.3,0.4913
OB41,Grohk,0.4,0.5016
OB41,Grohk,0.5,0.5124
OB41,Grohk,0.6,0.5227
OB41,Grohk,0.7,0.5340
OB41,Grohk,0.8,0.5483
OB41,Grohk,0.9,0.5653
OB41,Grohk,0.95,0.5862
OB41,Evie,0.0,0.4147
OB41,Evie,0.05,0.4358
OB41,Evie,0.1,0.4510
OB41,Evie,0.2,0.4652
OB41,Evie,0.3,0.4771
OB41,Evie,0.4,0.4883
OB41,Evie,0.5,0.4987
OB41,Evie,0.6,0.5099
OB41,Evie,0.7,0.5231
OB41,Evie,0.8,0.5386
OB41,Evie,0.9,0.5577
OB41,Evie,0.95,0.5824
OB41,Buck,0.0,0.4307
OB41,Buck,0.05,0.4517
OB41,Buck,0.1,0.4670
OB41,Buck,0.2,0.4813
OB41,Buck,0.3,0.4922
OB41,Buck,0.4,0.5026
OB41,Buck,0.5,0.5116
OB41,Buck,0.6,0.5223
OB41,Buck,0.7,0.5342
OB41,Buck,0.8,0.5495
OB41,Buck,0.9,0.5667
OB41,Buck,0.95,0.5896
OB41,Ruckus,0.0,0.4285
OB41,Ruckus,0.05,0.4477
OB41,Ruckus,0.1,0.4621
OB41,Ruckus,0.2,0.4755
OB41,Ruckus,0.3,0.4865
OB41,Ruckus,0.4,0.4962
OB41,Ruckus,0.5,0.5061
OB41,Ruckus,0.6,0.5164
OB41,Ruckus,0.7,0.5286
OB41,Ruckus,0.8,0.5438
OB41,Ruckus,0.9,0.5597
OB41,Ruckus,0.95,0.5803
OB41,Androxus,0.0,0.4125
OB41,Androxus,0.05,0.4310
OB41,Androxus,0.1,0.4469
OB41,Androxus,0.2,0.4616
OB41,Androxus,0.3,0.4735
OB41,Androxus,0.4,0.4841
OB41,Androxus,0.5,0.4949
OB41,Androxus,0.6,0.5067
OB41,Androxus,0.7,0.5207
OB41,Androxus,0.8,0.5386
OB41,Androxus,0.9,0.5567
OB41,Androxus,0.95,0.5841
OB41,Kinessa,0.0,0.3927
OB41,Kinessa,0.05,0.4105
OB41,Kinessa,0.1,0.4275
OB41,Kinessa,0.2,0.4419
OB41,Kinessa,0.3,0.4529
OB41,Kinessa,0.4,0.4643
OB41,Kinessa,0.5,0.4751
OB41,Kinessa,0.6,0.4848
OB41,Kinessa,0.7,0.4965
OB41,Kinessa,0.8,0.5132
OB41,Kinessa,0.9,0.5323
OB41,Kinessa,0.95,0.5532
OB41,Grover,0.0,0.4322
OB41,Grover,0.05,0.4499
OB41,Grover,0.1,0.4637
OB41,Grover,0.2,0.4757
OB41,Grover,0.3,0.4865
OB41,Grover,0.4,0.4957
OB41,Grover,0.5,0.5056
OB41,Grover,0.6,0.5153
OB41,Grover,0.7,0.5267
OB41,Grover,0.8,0.5400
OB41,Grover,0.9,0.5536
OB41,Grover,0.95,0.5727
OB41,Ying,0.0,0.4252
OB41,Ying,0.05,0.4457
OB41,Ying,0.1,0.4615
OB41,Ying,0.2,0.4749
OB41,Ying,0.3,0.4863
OB41,Ying,0.4,0.4965
OB41,Ying,0.5,0.5067
OB41,Ying,0.6,0.5177
OB41,Ying,0.7,0.5300
OB41,Ying,0.8,0.5454
OB41,Ying,0.9,0.5614
OB41,Ying,0.95,0.5827
OB41,Drogoz,0.0,0.4292
OB41,Drogoz,0.05,0.4512
OB41,Drogoz,0.1,0.4675
OB41,Drogoz,0.2,0.4833
OB41,Drogoz,0.3,0.4954
OB41,Drogoz,0.4,0.5065
OB41,Drogoz,0.5,0.5180
OB41,Drogoz,0.6,0.5302
OB41,Drogoz,0.7,0.5432
OB41,Drogoz,0.8,0.5600
OB41,Drogoz,0.9,0.5784
OB41,Drogoz,0.95,0.5975
OB41,Bomb King,0.0,0.4341
OB41,Bomb King,0.05,0.4517
OB41,Bomb King,0.1,0.4657
OB41,Bomb King,0.2,0.4802
OB41,Bomb King,0.3,0.4918
OB41,Bomb King,0.4,0.5026
OB41,Bomb King,0.5,0.5137
OB41,Bomb King,0.6,0.5250
OB41,Bomb King,0.7,0.5376
OB41,Bomb King,0.8,0.5528
OB41,Bomb King,0.9,0.5700
OB41,Bomb King,0.95,0.5917
OB41,Viktor,0.0,0.4112
OB41,Viktor,0.05,0.4307
OB41,Viktor,0.1,0.4449
OB41,Viktor,0.2,0.4584
OB41,Viktor,0.3,0.4694
OB41,Viktor,0.4,0.4794
OB41,Viktor,0.5,0.4892
OB41,Viktor,0.6,0.5003
OB41,Viktor,0.7,0.5119
OB41,Viktor,0.8,0.5259
OB41,Viktor,0.9,0.5432
OB41,Viktor,0.95,0.5638
OB41,Makoa,0.0,0.4226
OB41,Makoa,0.05,0.4397
OB41,Makoa,0.1,0.4529
OB41,Makoa,0.2,0.4651
OB41,Makoa,0.3,0.4752
OB41,Makoa,0.4,0.4849
OB41,Makoa,0.5,0.4943
OB41,Makoa,0.6,0.5043
OB41,Makoa,0.7,0.5154
OB41,Makoa,0.8,0.5291
OB41,Makoa,0.9,0.5446
OB41,Makoa,0.95,0.5638
OB41,Mal'Damba,0.0,0.4153
OB41,Mal'Damba,0.05,0.4325
OB41,Mal'Damba,0.1,0.4469
OB41,Mal'Damba,0.2,0.4602
OB41,Mal'Damba,0.3,0.4705
OB41,Mal'Damba,0.4,0.4806
OB41,Mal'Damba,0.5,0.4913
OB41,Mal'Damba,0.6,0.5018
OB41,Mal'Damba,0.7,0.5126
OB41,Mal'Damba,0.8,0.5256
OB41,Mal'Damba,0.9,0.5440
OB41,Mal'Damba,0.95,0.5677
OB41,Sha Lin,0.0,0.4148
OB41,Sha Lin,0.05,0.4347
OB41,Sha Lin,0.1,0.4501
OB41,Sha Lin,0.2,0.4640
OB41,Sha Lin,0.3,0.4751
OB41,Sha Lin,0.4,0.4844
OB41,Sha Lin,0.5,0.4948
OB41,Sha Lin,0.6,0.5056
OB41,Sha Lin,0.7,0.5166
OB41,Sha Lin,0.8,0.5305
OB41,Sha Lin,0.9,0.5487
OB41,Sha Lin,0.95,0.5724
OB41,Tyra,0.0,0.4201
OB41,Tyra,0.05,0.4378
OB41,Tyra,0.1,0.4537
OB41,Tyra,0.2,0.4689
OB41,Tyra,0.3,0.4809
OB41,Tyra,0.4,0.4918
OB41,Tyra,0.5,0.5016
OB41,Tyra,0.6,0.5110
OB41,Tyra,0.7,0.5215
OB41,Tyra,0.8,0.5351
OB41,Tyra,0.9,0.5512
OB41,Tyra,0.95,0.5727
OB42,Pip,0.0,0.4258
OB42,Pip,0.05,0.4459
OB42,Pip,0.1,0.4625
OB42,Pip,0.2,0.4785
OB42,Pip,0.3,0.4910
OB42,Pip,0.4,0.5028
OB42,Pip,0.5,0.5140
OB42,Pip,0.6,0.5258
OB42,Pip,0.7,0.5395
OB42,Pip,0.8,0.5577
OB42,Pip,0.9,0.5772
OB42,Pip,0.95,0.5954
OB42,Skye,0.0,0.4201
OB42,Skye,0.05,0.4392
OB42,Skye,0.1,0.4541
OB42,Skye,0.2,0.4684
OB42,Skye,0.3,0.4799
OB42,Skye,0.4,0.4896
OB42,Skye,0.5,0.4993
OB42,Skye,0.6,0.5103
OB42,Skye,0.7,0.5224
OB42,Skye,0.8,0.5380
OB42,Skye,0.9,0.5551
OB42,Skye,0.95,0.5755
OB42,Fernando,0.0,0.4311
OB42,Fernando,0.05,0.4504
OB42,Fernando,0.1,0.4645
OB42,Fernando,0.2,0.4782
OB42,Fernando,0.3,0.4899
OB42,Fernando,0.4,0.5007
OB42,Fernando,0.5,0.5107
OB42,Fernando,0.6,0.5213
OB42,Fernando,0.7,0.5332
OB42,Fernando,0.8,0.5492
OB42,Fernando,0.9,0.5658
OB42,Fernando,0.95,0.5829
OB42,Barik,0.0,0.4270
OB42,Barik,0.05,0.4487
OB42,Barik,0.1,0.4639
OB42,Barik,0.2,0.4785
OB42,Barik,0.3,0.4909
OB42,Barik,0.4,0.5016
OB42,Barik,0.5,0.5118
OB42,Barik,0.6,0.5222
OB42,Barik,0.7,0.5341
OB42,Barik,0.8,0.5492
OB42,Barik,0.9,0.5659
OB42,Barik,0.95,0.5855
OB42,Cassie,0.0,0.4006
OB42,Cassie,0.05,0.4250
OB42,Cassie,0.1,0.4393
OB42,Cassie,0.2,0.4533
OB42,Cassie,0.3,0.4652
OB42,Cassie,0.4,0.4768
OB42,Cassie,0.5,0.4872
OB42,Cassie,0.6,0.4974
OB42,Cassie,0.7,0.5100
OB42,Cassie,0.8,0.5262
OB42,Cassie,0.9,0.5463
OB42,Cassie,0.95,0.5733
OB42,Grohk,0.0,0.4357
OB42,Grohk,0.05,0.4548
OB42,Grohk,0.1,0.4707
OB42,Grohk,0.2,0.4851
OB42,Grohk,0.3,0.4951
OB42,Grohk,0.4,0.5042
OB42,Grohk,0.5,0.5132
OB42,Grohk,0.6,0.5222
OB42,Grohk,0.7,0.5332
OB42,Grohk,0.8,0.5467
OB42,Grohk,0.9,0.5637
OB42,Grohk,0.95,0.5843
OB42,Evie,0.0,0.4131
OB42,Evie,0.05,0.4334
OB42,Evie,0.1,0.4481
OB42,Evie,0.2,0.4625
OB42,Evie,0.3,0.4741
OB42,Evie,0.4,0.4858
OB42,Evie,0.5,0.4966
OB42,Evie,0.6,0.5073
OB42,Evie,0.7,0.5210
OB42,Evie,0.8,0.5391
OB42,Evie,0.9,0.5575
OB42,Evie,0.95,0.5807
OB42,Buck,0.0,0.4282
OB42,Buck,0.05,0.4488
OB42,Buck,0.1,0.4642
OB42,Buck,0.2,0.4794
OB42,Buck,0.3,0.4917
OB42,Buck,0.4,0.5024
OB42,Buck,0.5,0.5128
OB42,Buck,0.6,0.5241
OB42,Buck,0.7,0.5375
OB42,Buck,0.8,0.5552
OB42,Buck,0.9,0.5734
OB42,Buck,0.95,0.5911
OB42,Ruckus,0.0,0.4254
OB42,Ruckus,0.05,0.4436
OB42,Ruckus,0.1,0.4579
OB42,Ruckus,0.2,0.4715
