Version,Champion,Winrate|% Games Won,Damage Done|Damage Per Second,Shielding|Shielding Per Second,Healing|Healing Per Second,Popularity|% Games Chosen,Kills|Kills Per Minute,Slays|Slays Per Minute,Deaths|Deaths Per Minute,Credits|Credits Per Minute,Count
OB41,Androxus,0.443,66.241,0.000,0.000,0.496,1.491,0.908,0.746,126.173,71648
OB41,Barik,0.565,66.886,109.545,0.000,0.636,1.784,0.495,0.584,181.032,91839
OB41,Bomb King,0.536,58.681,0.000,0.000,0.492,1.298,0.689,0.690,130.991,71000
OB41,Buck,0.527,68.580,0.000,0.000,0.319,1.764,0.925,0.599,146.557,46018
OB41,Cassie,0.435,73.762,0.000,0.000,0.390,1.542,0.789,0.682,132.628,56342
OB41,Drogoz,0.541,87.819,0.000,0.000,0.487,1.533,0.855,0.635,145.472,70266
OB41,Evie,0.470,65.549,0.000,0.000,0.403,1.358,0.780,0.675,121.024,58149
OB41,Fernando,0.542,48.416,144.980,0.000,0.741,1.094,0.339,0.616,178.271,107007
OB41,Grohk,0.563,54.640,1.181,58.628,0.247,1.579,0.448,0.594,168.422,35614
OB41,Grover,0.514,52.020,0.000,60.069,0.514,1.245,0.417,0.563,157.903,74176
OB41,Kinessa,0.371,63.810,0.000,0.000,0.318,1.370,0.665,0.673,110.689,45848
OB41,Makoa,0.486,54.244,64.694,0.000,0.838,1.324,0.581,0.598,161.149,120919
OB41,Mal'Damba,0.473,49.005,0.000,58.639,0.425,1.192,0.374,0.680,136.803,61304
OB41,Pip,0.477,58.500,0.000,26.328,0.304,1.461,0.521,0.572,129.698,43880
OB41,Ruckus,0.524,77.182,54.267,0.000,0.742,1.663,0.611,0.690,166.645,107010
OB41,Sha Lin,0.453,80.924,0.000,0.000,0.378,1.500,0.851,0.688,135.865,54503
OB41,Skye,0.501,71.867,0.000,0.000,0.572,1.650,1.023,0.792,137.206,82516
OB41,Tyra,0.500,87.967,0.000,0.000,0.465,1.769,0.823,0.757,152.941,67098
OB41,Viktor,0.461,84.682,0.000,0.000,0.603,1.657,0.803,0.702,141.270,86992
OB41,Ying,0.526,48.080,0.000,69.739,0.631,1.408,0.407,0.528,146.007,91001
OB42,Androxus,0.447,65.018,0.000,0.000,0.479,1.510,0.915,0.747,126.181,87245
OB42,Barik,0.526,58.971,113.030,0.000,0.526,1.696,0.460,0.616,173.408,95813
OB42,Bomb King,0.530,57.364,0.000,0.000,0.505,1.304,0.697,0.709,129.637,91897
OB42,Buck,0.528,66.960,0.000,0.000,0.286,1.767,0.917,0.601,145.679,52089
OB42,Cassie,0.431,72.313,0.000,0.000,0.371,1.568,0.800,0.687,132.506,67547
OB42,Drogoz,0.534,84.640,0.000,0.000,0.495,1.536,0.851,0.646,143.374,90210
OB42,Evie,0.469,63.327,0.000,0.000,0.374,1.367,0.787,0.675,120.645,68141
OB42,Fernando,0.499,43.866,144.966,0.000,0.533,1.048,0.312,0.643,171.403,97082
OB42,Grohk,0.549,51.039,1.193,50.838,0.229,1.535,0.431,0.620,161.302,41711
OB42,Grover,0.505,50.087,0.000,54.322,0.489,1.240,0.411,0.581,152.004,89081
OB42,Kinessa,0.369,61.633,0.000,0.000,0.281,1.363,0.658,0.678,109.267,51231
OB42,Makoa,0.476,51.607,61.875,0.000,0.731,1.323,0.580,0.612,156.761,133110
OB42,Mal'Damba,0.467,46.716,0.000,54.570,0.391,1.181,0.376,0.691,133.006,71236
OB42,Pip,0.516,63.497,0.000,23.651,0.391,1.601,0.622,0.573,135.806,71109
OB42,Ruckus,0.501,72.763,55.687,0.000,0.619,1.659,0.604,0.705,161.583,112756
OB42,Sha Lin,0.453,79.181,0.000,0.000,0.390,1.521,0.858,0.691,135.320,71088
OB42,Skye,0.491,69.375,0.000,0.000,0.567,1.631,1.003,0.796,134.767,103241
OB42,Torvald,0.625,50.566,151.720,0.000,0.663,1.408,0.501,0.495,182.999,120773
OB42,Tyra,0.495,83.779,0.000,0.000,0.452,1.771,0.824,0.764,150.199,82302
OB42,Viktor,0.474,83.555,0.000,0.000,0.617,1.709,0.838,0.700,142.832,112270
OB42,Ying,0.526,46.008,0.000,65.719,0.609,1.413,0.404,0.542,143.286,110898
OB43,Androxus,0.428,62.761,0.000,0.000,0.319,1.442,0.871,0.765,121.718,67479
OB43,Barik,0.510,56.443,114.624,0.000,0.485,1.632,0.432,0.620,167.116,102597
OB43,Bomb King,0.494,55.562,0.000,0.000,0.421,1.237,0.651,0.715,123.847,89005
OB43,Buck,0.494,64.379,0.000,0.000,0.174,1.646,0.844,0.626,138.419,36879
OB43,Cassie,0.413,70.956,0.000,0.000,0.288,1.504,0.755,0.693,127.887,61041
OB43,Drogoz,0.572,91.108,0.000,0.000,0.636,1.598,0.882,0.620,149.307,134541
OB43,Evie,0.445,61.089,0.000,0.000,0.226,1.277,0.727,0.684,114.872,47771
OB43,Fernando,0.468,41.723,145.792,0.000,0.483,0.987,0.282,0.655,164.618,102228
OB43,Grohk,0.551,49.512,1.274,51.301,0.227,1.495,0.408,0.617,157.800,47954
OB43,Grover,0.512,49.557,0.000,54.550,0.464,1.224,0.401,0.571,150.071,98289
OB43,Kinessa,0.357,61.061,0.000,0.000,0.220,1.334,0.650,0.690,107.245,46570
OB43,Maeve,0.516,69.592,0.000,0.000,0.777,1.707,1.030,0.640,138.691,164340
OB43,Makoa,0.472,49.985,63.653,0.000,0.760,1.298,0.566,0.611,153.250,160896
OB43,Mal'Damba,0.449,41.832,0.000,56.038,0.382,1.108,0.332,0.688,126.895,80865
OB43,Pip,0.501,61.163,0.000,25.529,0.376,1.538,0.562,0.569,131.833,79519
OB43,Ruckus,0.512,72.299,55.775,0.000,0.663,1.663,0.601,0.679,160.424,140316
OB43,Sha Lin,0.438,78.403,0.000,0.000,0.328,1.490,0.839,0.701,132.752,69358
OB43,Skye,0.476,68.062,0.000,0.000,0.425,1.573,0.964,0.803,131.100,90046
OB43,Torvald,0.621,48.675,152.155,0.000,0.763,1.340,0.469,0.512,178.069,161457
OB43,Tyra,0.525,91.563,0.000,0.000,0.459,1.821,0.853,0.754,156.486,97122
OB43,Viktor,0.446,81.170,0.000,0.000,0.515,1.627,0.786,0.713,137.148,108940
OB43,Ying,0.529,44.332,0.000,66.860,0.610,1.371,0.382,0.530,140.434,129167
OB44,Androxus,0.447,67.722,0.000,0.000,0.371,1.463,0.887,0.706,124.506,92425
OB44,Barik,0.536,67.055,134.001,0.000,0.544,1.724,0.487,0.570,179.825,135631
OB44,Bomb King,0.499,56.590,0.000,0.000,0.356,1.192,0.600,0.685,123.872,88697
OB44,Buck,0.513,69.757,0.000,0.000,0.184,1.662,0.835,0.551,140.336,45770
OB44,Cassie,0.398,71.967,0.000,0.000,0.203,1.405,0.695,0.684,124.350,50674
OB44,Drogoz,0.532,94.086,0.000,0.000,0.653,1.514,0.818,0.621,146.632,162729
OB44,Evie,0.460,66.641,0.000,0.000,0.219,1.275,0.725,0.618,117.662,54538
OB44,Fernando,0.481,39.833,178.591,0.000,0.474,0.923,0.250,0.593,173.552,118067
OB44,Grohk,0.496,61.179,1.166,46.352,0.265,1.498,0.397,0.579,155.905,66032
OB44,Grover,0.450,51.452,0.000,61.652,0.432,1.131,0.361,0.574,149.043,107756
OB44,Kinessa,0.369,65.752,0.000,0.000,0.219,1.343,0.681,0.681,110.818,54676
OB44,Maeve,0.483,69.445,0.000,0.000,0.623,1.551,0.918,0.654,130.688,155100
OB44,Makoa,0.455,49.505,67.953,0.000,0.730,1.205,0.492,0.599,151.340,181758
OB44,Mal'Damba,0.348,43.544,0.000,52.389,0.267,0.942,0.277,0.725,114.154,66501
OB44,Pip,0.434,60.685,0.000,31.712,0.332,1.355,0.482,0.601,124.466,82626
OB44,Ruckus,0.498,75.271,55.834,0.000,0.683,1.614,0.574,0.667,158.890,170059
