division,name,role,skill_level,patch,legendary,avg_dps,sd_dps,avg_sps,sd_sps,avg_hps,sd_hps,avg_kpm,sd_kpm,avg_slayspm,sd_slayspm,avg_xpm,sd_xpm,avg_cpm,sd_cpm,wins,count,champ_count
Crossplatform Casual,Dredge,Damage,3000+,V2.07,Abyss Spike,93.27,26.30,3.45,2.89,0.00,0.00,1.29,0.67,0.66,0.36,0.51,0.28,216.97,55.63,27,48,171
PS4 Ranked,Dredge,Damage,Everyone,V2.06,Abyss Spike,79.11,28.51,2.84,3.28,0.00,0.00,1.26,0.59,0.69,0.36,0.72,0.29,212.60,49.37,2429,5305,35006
PS4 Ranked,Dredge,Damage,2700+,V2.04,Abyss Spike,101.18,42.73,2.82,3.53,0.00,0.00,1.18,0.61,0.67,0.44,0.76,0.28,214.38,51.44,6,17,282
PS4 Casual,Dredge,Damage,3000+,V2.03,Abyss Spike,83.82,29.29,2.99,2.41,0.00,0.00,1.14,0.48,0.58,0.28,0.62,0.28,196.59,45.96,39,80,608
PS4 Casual,Dredge,Damage,Everyone,V2.02,Abyss Spike,62.91,26.03,2.22,2.87,0.00,0.00,1.21,0.58,0.68,0.37,0.70,0.29,200.00,51.59,5332,11334,99253
PS4 Ranked,Dredge,Damage,2500+,V2.04,Abyss Spike,98.44,31.35,2.28,2.94,0.00,0.00,1.28,0.59,0.66,0.38,0.69,0.27,213.84,44.13,24,59,876
PS4 Casual,Dredge,Damage,2100+,V2.03,Abyss Spike,67.70,27.64,2.48,2.89,0.00,0.00,1.19,0.58,0.65,0.36,0.69,0.30,199.11,52.54,1681,3740,36747
PS4 Casual,Dredge,Damage,2100+,V2.02,Abyss Spike,66.32,26.73,2.62,2.97,0.00,0.00,1.20,0.57,0.67,0.36,0.71,0.29,200.23,50.46,3477,7682,69914
PS4 Casual,Dredge,Damage,2500+,V2.02,Abyss Spike,69.99,27.25,2.94,2.94,0.00,0.00,1.15,0.57,0.62,0.34,0.70,0.29,199.75,48.25,1065,2470,25703
PS4 Casual,Dredge,Damage,2700+,V2.02,Abyss Spike,71.45,28.57,2.85,2.83,0.00,0.00,1.07,0.53,0.56,0.31,0.71,0.31,194.66,46.94,334,858,10357
PS4 Casual,Dredge,Damage,2700+,V2.03,Abyss Spike,75.63,28.27,2.78,2.75,0.00,0.00,1.14,0.56,0.60,0.33,0.66,0.29,197.20,49.75,242,539,4081
PS4 Casual,Dredge,Damage,2500+,V2.03,Abyss Spike,72.51,28.02,2.72,2.80,0.00,0.00,1.16,0.57,0.63,0.35,0.66,0.30,199.11,50.98,634,1402,11038
PS4 Casual,Dredge,Damage,3000+,V2.02,Abyss Spike,77.95,31.49,3.00,2.91,0.00,0.00,0.98,0.52,0.50,0.31,0.70,0.31,191.41,46.88,38,110,1584
Keyboard/Mouse Ranked,Dredge,Damage,2500+,V2.02,Abyss Spike,114.43,31.82,2.83,2.82,0.00,0.00,1.37,0.62,0.68,0.34,0.59,0.26,224.02,47.85,90,209,7103
Keyboard/Mouse Ranked,Dredge,Damage,2700+,V2.02,Abyss Spike,120.43,33.19,2.25,2.79,0.00,0.00,1.30,0.57,0.64,0.32,0.55,0.21,221.08,46.94,31,74,2367
Keyboard/Mouse Ranked,Dredge,Damage,3000+,V2.02,Abyss Spike,136.84,26.81,1.41,1.95,0.00,0.00,1.25,0.48,0.67,0.33,0.49,0.18,216.00,44.95,6,17,233
Crossplatform Casual,Dredge,Damage,2500+,V2.06,Abyss Spike,81.63,28.94,2.85,2.75,0.00,0.00,1.28,0.58,0.69,0.36,0.61,0.28,210.76,51.14,4437,9211,82515
Controller Ranked,Dredge,Damage,2100+,V2.05,Abyss Spike,80.40,26.32,3.23,3.01,0.00,0.00,1.22,0.54,0.64,0.32,0.69,0.27,202.74,44.46,364,826,5139
Controller Ranked,Dredge,Damage,Everyone,V2.05,Abyss Spike,77.37,27.57,2.77,2.98,0.00,0.00,1.27,0.58,0.69,0.36,0.70,0.29,206.15,47.90,1282,2761,13391
PS4 Ranked,Dredge,Damage,Everyone,V2.02,Abyss Spike,77.69,29.95,2.90,3.23,0.00,0.00,1.25,0.58,0.68,0.35,0.73,0.29,210.47,50.09,1219,2779,25490
Controller Ranked,Dredge,Damage,2700+,V2.06,Abyss Spike,87.62,27.64,3.38,2.98,0.00,0.00,1.27,0.33,0.58,0.36,0.59,0.30,216.80,29.35,4,7,122
Crossplatform Casual,Dredge,Damage,2100+,V2.06,Abyss Spike,75.67,28.40,2.46,2.80,0.00,0.00,1.31,0.60,0.72,0.38,0.63,0.29,210.32,52.42,19851,39772,356935
Crossplatform Casual,Dredge,Damage,Everyone,V2.06,Abyss Spike,71.54,27.96,2.11,2.72,0.00,0.00,1.31,0.60,0.75,0.39,0.63,0.29,208.40,53.69,38693,75348,707637
Controller Ranked,Dredge,Damage,2500+,V2.06,Abyss Spike,86.33,26.73,3.74,2.88,0.00,0.00,1.19,0.50,0.59,0.28,0.66,0.26,202.43,44.99,15,39,527
Controller Ranked,Dredge,Damage,2100+,V2.06,Abyss Spike,84.30,27.81,3.36,3.09,0.00,0.00,1.23,0.55,0.66,0.33,0.70,0.27,206.62,46.97,380,916,5824
Controller Ranked,Dredge,Damage,Everyone,V2.06,Abyss Spike,80.62,27.79,2.75,2.95,0.00,0.00,1.28,0.58,0.70,0.36,0.69,0.28,209.73,49.69,1402,3046,16200
Controller Ranked,Dredge,Damage,2100+,V2.07,Abyss Spike,83.75,29.53,2.95,3.14,0.00,0.00,1.18,0.52,0.64,0.35,0.60,0.28,215.70,49.55,10,19,128
Crossplatform Casual,Dredge,Damage,2700+,V2.07,Abyss Spike,93.78,28.48,3.14,2.48,0.00,0.00,1.33,0.58,0.67,0.34,0.53,0.24,215.66,50.69,114,237,1122
Controller Ranked,Dredge,Damage,Everyone,V2.07,Abyss Spike,78.22,27.40,2.89,3.08,0.00,0.00,1.22,0.56,0.64,0.34,0.71,0.28,208.06,47.50,193,418,2086
Crossplatform Casual,Dredge,Damage,2500+,V2.07,Abyss Spike,89.66,29.51,2.83,2.55,0.00,0.00,1.34,0.59,0.69,0.35,0.56,0.27,213.70,50.30,240,527,3017
Crossplatform Casual,Dredge,Damage,2100+,V2.07,Abyss Spike,78.44,29.86,2.51,2.75,0.00,0.00,1.30,0.62,0.69,0.38,0.62,0.29,208.65,53.44,1131,2407,15611
PS4 Ranked,Dredge,Damage,Everyone,V2.04,Abyss Spike,80.05,29.65,2.36,2.84,0.00,0.00,1.27,0.59,0.68,0.35,0.72,0.30,211.14,49.31,665,1541,9786
PS4 Ranked,Dredge,Damage,2700+,V2.03,Abyss Spike,101.96,30.82,4.05,2.63,0.00,0.00,1.20,0.56,0.56,0.31,0.62,0.31,211.29,41.47,11,28,468
PS4 Ranked,Dredge,Damage,2700+,V2.05,Abyss Spike,85.45,34.02,3.80,3.33,0.00,0.00,1.00,0.53,0.51,0.29,0.79,0.30,189.90,43.39,11,43,642
PS4 Ranked,Dredge,Damage,2500+,V2.05,Abyss Spike,87.40,30.14,4.04,3.52,0.00,0.00,1.07,0.57,0.56,0.34,0.74,0.28,197.34,45.03,45,144,2148
PS4 Ranked,Dredge,Damage,2100+,V2.05,Abyss Spike,83.59,29.63,3.31,3.29,0.00,0.00,1.24,0.59,0.66,0.35,0.73,0.29,209.94,46.64,732,1679,13683
PS4 Ranked,Dredge,Damage,Everyone,V2.05,Abyss Spike,78.76,29.37,2.87,3.13,0.00,0.00,1.27,0.60,0.68,0.36,0.72,0.29,211.08,49.81,1976,4332,28609
PS4 Ranked,Dredge,Damage,2500+,V2.03,Abyss Spike,93.59,33.16,3.92,3.03,0.00,0.00,1.14,0.56,0.57,0.31,0.71,0.29,203.65,41.01,33,96,1342
Crossplatform Casual,Dredge,Damage,2700+,V2.02,Abyss Spike,87.35,29.68,2.96,2.67,0.00,0.00,1.29,0.58,0.69,0.37,0.58,0.28,211.29,49.18,1472,3141,24992
Crossplatform Casual,Dredge,Damage,3000+,V2.02,Abyss Spike,92.36,28.88,2.97,2.64,0.00,0.00,1.24,0.56,0.64,0.33,0.58,0.27,210.89,47.05,265,590,4182
PS4 Ranked,Dredge,Damage,2700+,V2.06,Abyss Spike,93.59,39.62,2.26,2.70,0.00,0.00,1.24,0.67,0.61,0.33,0.60,0.30,216.92,53.25,10,17,603
