patch,hour,division,region,count,total,avg_matches_per_minute
V2.06,0,Crossplatform Casual,Europe,30747,1692701,9.3103
V2.06,1,Crossplatform Casual,Europe,19624,1692701,5.9422
V2.06,2,Crossplatform Casual,Europe,13121,1692701,3.9731
V2.06,3,Crossplatform Casual,Europe,9403,1692701,2.8473
V2.06,4,Crossplatform Casual,Europe,8543,1692701,2.5869
V2.06,5,Crossplatform Casual,Europe,11014,1692701,3.3351
V2.06,6,Crossplatform Casual,Europe,18411,1692701,5.5749
V2.06,7,Crossplatform Casual,Europe,30357,1692701,9.1922
V2.06,8,Crossplatform Casual,Europe,47927,1692701,14.5124
V2.06,9,Crossplatform Casual,Europe,67787,1692701,20.5260
V2.06,10,Crossplatform Casual,Europe,83356,1692701,25.2547
V2.06,11,Crossplatform Casual,Europe,90276,1692701,27.8415
V2.06,12,Crossplatform Casual,Europe,99224,1692701,30.6011
V2.06,13,Crossplatform Casual,Europe,108232,1692701,33.3793
V2.06,14,Crossplatform Casual,Europe,114346,1692701,34.6347
V2.06,15,Crossplatform Casual,Europe,118675,1692701,35.9349
V2.06,16,Crossplatform Casual,Europe,120323,1692701,36.4339
V2.06,17,Crossplatform Casual,Europe,122805,1692701,37.1855
V2.06,18,Crossplatform Casual,Europe,123198,1692701,37.3116
V2.06,19,Crossplatform Casual,Europe,125512,1692701,38.0052
V2.06,20,Crossplatform Casual,Europe,116189,1692701,35.1822
V2.06,21,Crossplatform Casual,Europe,95992,1692701,29.0665
V2.06,22,Crossplatform Casual,Europe,70051,1692701,21.2115
V2.06,23,Crossplatform Casual,Europe,47588,1692701,14.4097
V2.06,0,Crossplatform Casual,North America,93418,1525305,28.2871
V2.06,1,Crossplatform Casual,North America,98457,1525305,29.8129
V2.06,2,Crossplatform Casual,North America,100714,1525305,30.4963
V2.06,3,Crossplatform Casual,North America,94904,1525305,28.7371
V2.06,4,Crossplatform Casual,North America,84020,1525305,25.4413
V2.06,5,Crossplatform Casual,North America,70390,1525305,21.3142
V2.06,6,Crossplatform Casual,North America,56283,1525305,17.0428
V2.06,7,Crossplatform Casual,North America,43918,1525305,13.2984
V2.06,8,Crossplatform Casual,North America,35343,1525305,10.7019
V2.06,9,Crossplatform Casual,North America,29561,1525305,8.9511
V2.06,10,Crossplatform Casual,North America,25685,1525305,7.7819
V2.06,11,Crossplatform Casual,North America,25249,1525305,7.7869
V2.06,12,Crossplatform Casual,North America,29551,1525305,9.1137
V2.06,13,Crossplatform Casual,North America,36140,1525305,11.1458
V2.06,14,Crossplatform Casual,North America,44509,1525305,13.4816
V2.06,15,Crossplatform Casual,North America,52322,1525305,15.8433
V2.06,16,Crossplatform Casual,North America,58730,1525305,17.7836
V2.06,17,Crossplatform Casual,North America,64966,1525305,19.6718
V2.06,18,Crossplatform Casual,North America,70333,1525305,21.3008
V2.06,19,Crossplatform Casual,North America,75021,1525305,22.7165
V2.06,20,Crossplatform Casual,North America,78457,1525305,23.7569
V2.06,21,Crossplatform Casual,North America,82978,1525305,25.1258
V2.06,22,Crossplatform Casual,North America,85600,1525305,25.9198
V2.06,23,Crossplatform Casual,North America,88756,1525305,26.8754
V2.05,0,Crossplatform Casual,Europe,23340,1460684,7.0674
V2.05,1,Crossplatform Casual,Europe,14801,1460684,4.4818
V2.05,2,Crossplatform Casual,Europe,9618,1460684,2.9124
V2.05,3,Crossplatform Casual,Europe,7531,1460684,2.2804
V2.05,4,Crossplatform Casual,Europe,7439,1460684,2.2526
V2.05,5,Crossplatform Casual,Europe,10654,1460684,3.2261
V2.05,6,Crossplatform Casual,Europe,18066,1460684,5.4704
V2.05,7,Crossplatform Casual,Europe,28361,1460684,8.5878
V2.05,8,Crossplatform Casual,Europe,43412,1460684,13.1453
V2.05,9,Crossplatform Casual,Europe,58715,1460684,17.7790
V2.05,10,Crossplatform Casual,Europe,71554,1460684,21.6666
V2.05,11,Crossplatform Casual,Europe,75712,1460684,22.9388
V2.05,12,Crossplatform Casual,Europe,83187,1460684,25.6553
V2.05,13,Crossplatform Casual,Europe,90843,1460684,28.0164
V2.05,14,Crossplatform Casual,Europe,97300,1460684,29.4701
V2.05,15,Crossplatform Casual,Europe,103390,1460684,31.3066
V2.05,16,Crossplatform Casual,Europe,107583,1460684,32.5763
V2.05,17,Crossplatform Casual,Europe,110048,1460684,33.3226
V2.05,18,Crossplatform Casual,Europe,109823,1460684,33.2545
V2.05,19,Crossplatform Casual,Europe,110044,1460684,33.3214
V2.05,20,Crossplatform Casual,Europe,102742,1460684,31.1104
V2.05,21,Crossplatform Casual,Europe,81744,1460684,24.7522
V2.05,22,Crossplatform Casual,Europe,57502,1460684,17.4117
V2.05,23,Crossplatform Casual,Europe,37275,1460684,11.2869
V2.05,0,Crossplatform Casual,North America,77863,1314081,23.5770
V2.05,1,Crossplatform Casual,North America,81828,1314081,24.7776
V2.05,2,Crossplatform Casual,North America,82830,1314081,25.0810
V2.05,3,Crossplatform Casual,North America,81393,1314081,24.6459
V2.05,4,Crossplatform Casual,North America,73576,1314081,22.2789
V2.05,5,Crossplatform Casual,North America,60454,1314081,18.3056
V2.05,6,Crossplatform Casual,North America,47596,1314081,14.4121
V2.05,7,Crossplatform Casual,North America,37315,1314081,11.2990
V2.05,8,Crossplatform Casual,North America,31196,1314081,9.4462
V2.05,9,Crossplatform Casual,North America,26118,1314081,7.9086
V2.05,10,Crossplatform Casual,North America,23407,1314081,7.0877
V2.05,11,Crossplatform Casual,North America,22743,1314081,6.8906
V2.05,12,Crossplatform Casual,North America,25996,1314081,8.0173
V2.05,13,Crossplatform Casual,North America,32169,1314081,9.9211
V2.05,14,Crossplatform Casual,North America,39514,1314081,11.9679
V2.05,15,Crossplatform Casual,North America,46778,1314081,14.1645
V2.05,16,Crossplatform Casual,North America,52627,1314081,15.9355
V2.05,17,Crossplatform Casual,North America,57746,1314081,17.4856
V2.05,18,Crossplatform Casual,North America,61230,1314081,18.5405
V2.05,19,Crossplatform Casual,North America,64218,1314081,19.4453
V2.05,20,Crossplatform Casual,North America,68827,1314081,20.8409
V2.05,21,Crossplatform Casual,North America,71380,1314081,21.6140
V2.05,22,Crossplatform Casual,North America,72826,1314081,22.0518
V2.05,23,Crossplatform Casual,North America,74451,1314081,22.5438
V2.06,0,PS4 Casual,North America,46481,820731,14.0745
V2.06,1,PS4 Casual,North America,47183,820731,14.2871
V2.06,2,PS4 Casual,North America,46536,820731,14.0912
