team0,team1,p05,p50,p95,count
2T-2D-1S-0F,3T-1D-1S-0F,0.4756,0.5581,0.6303,172
2T-1D-1S-1F,3T-1D-1S-0F,0.4707,0.5163,0.5621,459
1T-2D-1S-1F,3T-1D-1S-0F,0.4320,0.5094,0.5860,159
1T-1D-2S-1F,3T-1D-1S-0F,0.3811,0.5185,0.6461,54
1T-1D-1S-2F,3T-1D-1S-0F,0.2780,0.4200,0.5577,50
2T-1D-1S-1F,3T-1D-0S-1F,0.4327,0.5686,0.7098,51
2T-1D-1S-1F,3T-0D-2S-0F,0.4876,0.6486,0.8005,37
2T-2D-1S-0F,3T-0D-1S-1F,0.3539,0.4815,0.6122,54
2T-1D-1S-1F,3T-0D-1S-1F,0.4581,0.5515,0.6325,136
1T-2D-1S-1F,3T-0D-1S-1F,0.3510,0.4808,0.6293,52
2T-1D-1S-1F,2T-3D-0S-0F,0.4332,0.5897,0.7292,39
3T-1D-1S-0F,2T-2D-1S-0F,0.3697,0.4419,0.5242,172
3T-0D-1S-1F,2T-2D-1S-0F,0.3876,0.5185,0.6461,54
2T-2D-1S-0F,2T-2D-1S-0F,0.4913,0.5000,0.5086,12952
2T-2D-0S-1F,2T-2D-1S-0F,0.1804,0.2838,0.3952,74
2T-1D-2S-0F,2T-2D-1S-0F,0.4901,0.5115,0.5327,2127
2T-1D-1S-1F,2T-2D-1S-0F,0.4926,0.4995,0.5052,29609
2T-0D-2S-1F,2T-2D-1S-0F,0.5054,0.5406,0.5751,788
2T-0D-1S-2F,2T-2D-1S-0F,0.4218,0.4680,0.5158,438
1T-3D-1S-0F,2T-2D-1S-0F,0.4156,0.4601,0.5044,489
1T-2D-2S-0F,2T-2D-1S-0F,0.4357,0.4873,0.5488,355
1T-2D-1S-1F,2T-2D-1S-0F,0.4023,0.4179,0.4358,3817
1T-2D-0S-2F,2T-2D-1S-0F,0.2832,0.4545,0.6201,33
1T-1D-3S-0F,2T-2D-1S-0F,0.3013,0.4500,0.6017,40
1T-1D-2S-1F,2T-2D-1S-0F,0.4326,0.4619,0.4888,1325
1T-1D-1S-2F,2T-2D-1S-0F,0.4012,0.4259,0.4522,1524
1T-0D-2S-2F,2T-2D-1S-0F,0.2594,0.3774,0.5315,53
1T-0D-1S-3F,2T-2D-1S-0F,0.1773,0.2889,0.4427,45
0T-3D-1S-1F,2T-2D-1S-0F,0.2720,0.3488,0.4388,129
0T-2D-2S-1F,2T-2D-1S-0F,0.1542,0.2432,0.3521,74
0T-2D-1S-2F,2T-2D-1S-0F,0.1959,0.2743,0.3630,113
0T-1D-2S-2F,2T-2D-1S-0F,0.2408,0.3889,0.5514,36
0T-1D-1S-3F,2T-2D-1S-0F,0.2181,0.3714,0.5366,35
2T-2D-1S-0F,2T-2D-0S-1F,0.6048,0.7162,0.8194,74
2T-1D-1S-1F,2T-2D-0S-1F,0.5684,0.6263,0.6848,281
1T-2D-1S-1F,2T-2D-0S-1F,0.4181,0.5349,0.6365,86
1T-1D-2S-1F,2T-2D-0S-1F,0.3701,0.5278,0.6905,36
1T-1D-1S-2F,2T-2D-0S-1F,0.4504,0.6176,0.7706,34
2T-2D-1S-0F,2T-1D-2S-0F,0.4673,0.4885,0.5097,2127
2T-1D-2S-0F,2T-1D-2S-0F,0.4437,0.5000,0.5562,300
2T-1D-1S-1F,2T-1D-2S-0F,0.4855,0.4980,0.5114,6078
2T-0D-2S-1F,2T-1D-2S-0F,0.4042,0.4955,0.5885,111
2T-0D-1S-2F,2T-1D-2S-0F,0.3335,0.4487,0.5589,78
