Map,Champion,Winrate|% Games Won,Count
Ascension Peak,Androxus,0.4069,4979
Ascension Peak,Ash,0.5305,18683
Ascension Peak,Atlas,0.4797,7855
Ascension Peak,Barik,0.5280,24665
Ascension Peak,Bomb King,0.5351,9847
Ascension Peak,Buck,0.4777,2491
Ascension Peak,Cassie,0.4776,10269
Ascension Peak,Dredge,0.4923,5876
Ascension Peak,Drogoz,0.5204,6947
Ascension Peak,Evie,0.4952,6333
Ascension Peak,Fernando,0.4966,10649
Ascension Peak,Furia,0.5246,10889
Ascension Peak,Grohk,0.5189,4681
Ascension Peak,Grover,0.5073,6069
Ascension Peak,Imani,0.4393,2051
Ascension Peak,Inara,0.5058,25112
Ascension Peak,Io,0.5617,9805
Ascension Peak,Jenos,0.5167,20770
Ascension Peak,Khan,0.4983,23138
Ascension Peak,Kinessa,0.3541,3386
Ascension Peak,Koga,0.4656,3593
Ascension Peak,Lex,0.3849,3084
Ascension Peak,Lian,0.4501,13379
Ascension Peak,Maeve,0.4938,11442
Ascension Peak,Makoa,0.5121,11899
Ascension Peak,Mal'Damba,0.4382,7777
Ascension Peak,Moji,0.5546,4962
Ascension Peak,Pip,0.4689,4014
Ascension Peak,Ruckus,0.4175,6501
Ascension Peak,Seris,0.4593,16699
Ascension Peak,Sha Lin,0.4039,1993
Ascension Peak,Skye,0.4816,6929
Ascension Peak,Strix,0.4286,7683
Ascension Peak,Talus,0.4918,4394
Ascension Peak,Terminus,0.5406,7409
Ascension Peak,Torvald,0.4907,5633
Ascension Peak,Tyra,0.5379,16151
Ascension Peak,Viktor,0.4588,11360
Ascension Peak,Vivian,0.5296,8460
Ascension Peak,Willo,0.5689,8458
Ascension Peak,Ying,0.5034,6543
Ascension Peak,Zhin,0.5538,13262
Bazaar,Androxus,0.4087,4830
Bazaar,Ash,0.5211,18229
Bazaar,Atlas,0.4774,7748
Bazaar,Barik,0.5313,24368
Bazaar,Bomb King,0.5001,9372
Bazaar,Buck,0.5223,2351
Bazaar,Cassie,0.4712,9939
Bazaar,Dredge,0.4957,5965
Bazaar,Drogoz,0.5448,7309
Bazaar,Evie,0.4912,6396
Bazaar,Fernando,0.5058,10325
Bazaar,Furia,0.5036,10212
Bazaar,Grohk,0.4973,4259
Bazaar,Grover,0.4986,6559
