Champion,Rating,count,Number of Players
Androxus,1100,47.0,47.0
Ash,1100,2.0,2.0
Barik,1100,5.0,5.0
Bomb King,1100,12.0,12.0
Buck,1100,2.0,2.0
Cassie,1100,25.0,25.0
Drogoz,1100,7.0,7.0
Evie,1100,14.0,14.0
Fernando,1100,17.0,17.0
Grohk,1100,5.0,5.0
Grover,1100,10.0,10.0
Inara,1100,9.0,9.0
Kinessa,1100,57.0,57.0
Lex,1100,13.0,13.0
Maeve,1100,20.0,20.0
Makoa,1100,31.0,31.0
Mal'Damba,1100,26.0,26.0
Pip,1100,15.0,15.0
Ruckus,1100,13.0,13.0
Seris,1100,8.0,8.0
Sha Lin,1100,26.0,26.0
Skye,1100,17.0,17.0
Torvald,1100,1.0,1.0
Tyra,1100,16.0,16.0
Viktor,1100,34.0,34.0
Willo,1100,8.0,8.0
Ying,1100,11.0,11.0
Zhin,1100,0,0
Androxus,1150,117.0,117.0
Ash,1150,7.0,7.0
Barik,1150,21.0,21.0
Bomb King,1150,23.0,23.0
Buck,1150,12.0,12.0
Cassie,1150,60.0,60.0
Drogoz,1150,30.0,30.0
Evie,1150,34.0,34.0
Fernando,1150,41.0,41.0
Grohk,1150,7.0,7.0
Grover,1150,26.0,26.0
Inara,1150,16.0,16.0
Kinessa,1150,116.0,116.0
Lex,1150,18.0,18.0
Maeve,1150,54.0,54.0
Makoa,1150,76.0,76.0
Mal'Damba,1150,50.0,50.0
Pip,1150,27.0,27.0
Ruckus,1150,44.0,44.0
Seris,1150,23.0,23.0
Sha Lin,1150,61.0,61.0
Skye,1150,41.0,41.0
Torvald,1150,3.0,3.0
Tyra,1150,36.0,36.0
Viktor,1150,78.0,78.0
Willo,1150,10.0,10.0
Ying,1150,17.0,17.0
Zhin,1150,6.0,6.0
Androxus,1200,207.0,207.0
Ash,1200,11.0,11.0
Barik,1200,60.0,60.0
Bomb King,1200,51.0,51.0
Buck,1200,18.0,18.0
Cassie,1200,121.0,121.0
Drogoz,1200,64.0,64.0
Evie,1200,77.0,77.0
Fernando,1200,60.0,60.0
Grohk,1200,14.0,14.0
Grover,1200,45.0,45.0
Inara,1200,37.0,37.0
Kinessa,1200,175.0,175.0
Lex,1200,47.0,47.0
Maeve,1200,113.0,113.0
Makoa,1200,180.0,180.0
Mal'Damba,1200,135.0,135.0
Pip,1200,68.0,68.0
Ruckus,1200,90.0,90.0
Seris,1200,74.0,74.0
Sha Lin,1200,114.0,114.0
Skye,1200,91.0,91.0
Torvald,1200,12.0,12.0
Tyra,1200,69.0,69.0
Viktor,1200,182.0,182.0
Willo,1200,26.0,26.0
Ying,1200,55.0,55.0
Zhin,1200,6.0,6.0
Androxus,1250,430.0,430.0
Ash,1250,29.0,29.0
Barik,1250,99.0,99.0
Bomb King,1250,125.0,125.0
Buck,1250,46.0,46.0
Cassie,1250,224.0,224.0
Drogoz,1250,143.0,143.0
Evie,1250,147.0,147.0
Fernando,1250,142.0,142.0
Grohk,1250,41.0,41.0
Grover,1250,113.0,113.0
Inara,1250,76.0,76.0
Kinessa,1250,302.0,302.0
Lex,1250,124.0,124.0
Maeve,1250,247.0,247.0
Makoa,1250,389.0,389.0
Mal'Damba,1250,256.0,256.0
Pip,1250,147.0,147.0
Ruckus,1250,166.0,166.0
Seris,1250,119.0,119.0
Sha Lin,1250,231.0,231.0
