Champion,Rating,Normalized Number of Players
Androxus,1100, 1.992e-03
Ash,1100, 4.058e-04
Barik,1100, 2.709e-04
Bomb King,1100, 4.622e-04
Buck,1100, 3.978e-04
Cassie,1100, 2.168e-03
Drogoz,1100, 3.670e-04
Evie,1100, 1.067e-03
Fernando,1100, 6.358e-04
Grohk,1100, 3.678e-04
Grover,1100, 4.376e-04
Inara,1100, 7.672e-04
Kinessa,1100, 5.593e-03
Lex,1100, 7.295e-04
Maeve,1100, 1.178e-03
Makoa,1100, 8.867e-04
Mal'Damba,1100, 1.375e-03
Pip,1100, 8.327e-04
Ruckus,1100, 4.836e-04
Seris,1100, 7.079e-04
Sha Lin,1100, 1.707e-03
Skye,1100, 7.623e-04
Torvald,1100, 4.248e-05
Tyra,1100, 5.686e-04
Viktor,1100, 1.182e-03
Willo,1100, 6.878e-04
Ying,1100, 2.990e-04
Zhin,1100, 4.131e-04
Androxus,1150, 4.402e-03
Ash,1150, 1.037e-03
Barik,1150, 7.686e-04
Bomb King,1150, 1.022e-03
Buck,1150, 1.163e-03
Cassie,1150, 4.831e-03
Drogoz,1150, 1.018e-03
Evie,1150, 2.444e-03
Fernando,1150, 1.393e-03
Grohk,1150, 7.166e-04
Grover,1150, 1.035e-03
Inara,1150, 1.609e-03
Kinessa,1150, 1.081e-02
Lex,1150, 1.477e-03
Maeve,1150, 2.799e-03
Makoa,1150, 2.129e-03
Mal'Damba,1150, 3.047e-03
Pip,1150, 1.790e-03
Ruckus,1150, 1.234e-03
Seris,1150, 1.795e-03
Sha Lin,1150, 3.772e-03
Skye,1150, 1.798e-03
Torvald,1150, 1.221e-04
Tyra,1150, 1.288e-03
Viktor,1150, 2.691e-03
Willo,1150, 1.268e-03
Ying,1150, 6.647e-04
Zhin,1150, 1.499e-03
Androxus,1200, 8.128e-03
Ash,1200, 2.093e-03
Barik,1200, 1.780e-03
Bomb King,1200, 2.221e-03
Buck,1200, 2.340e-03
Cassie,1200, 9.288e-03
Drogoz,1200, 2.185e-03
Evie,1200, 4.979e-03
Fernando,1200, 2.576e-03
Grohk,1200, 1.526e-03
Grover,1200, 2.120e-03
Inara,1200, 3.322e-03
Kinessa,1200, 1.742e-02
Lex,1200, 3.310e-03
Maeve,1200, 5.682e-03
Makoa,1200, 4.615e-03
Mal'Damba,1200, 6.566e-03
Pip,1200, 3.861e-03
Ruckus,1200, 2.552e-03
Seris,1200, 4.048e-03
Sha Lin,1200, 7.213e-03
Skye,1200, 3.788e-03
Torvald,1200, 3.395e-04
